excel_row_1_based,name,scholar_profile_id_excel,profile_url,local_match_count,local_profile_id,local_name,has_profile_json,has_chunks,all_local_profile_ids
5678,,nan,https://cancer.osu.edu/find-a-doctor/search-physician-directory/regina-denise-crawford,0,,,False,False,
5679,,nan,https://glenn.osu.edu/regina-robinson-easter,1,370775ea-90db-4f7c-96a0-028e542f1859,Regina Robinson-Easter,True,False,370775ea-90db-4f7c-96a0-028e542f1859
5680,,nan,https://www.nationwidechildrens.org/find-a-doctor/profiles/reginald-d-talley,1,fc3dea79-839d-489d-b5df-5765725116bf,Reginald Talley,True,False,fc3dea79-839d-489d-b5df-5765725116bf
5683,,nan,https://medicine.osu.edu/find-faculty/clinical/surgery/renata-b-fabia-md-phd,1,efb2eda8-d6e7-4ae2-a693-84150bfd37e0,Renata Fabia,True,False,efb2eda8-d6e7-4ae2-a693-84150bfd37e0
5686,,nan,https://wexnermedical.osu.edu/find-a-doctor/renee-kovesci-aprn-cnp-40031,0,,,False,False,
5690,,nan,https://wexnermedical.osu.edu/find-a-doctor/renuka-shenoy-md-61565,1,c12527b1-eac8-4937-a917-8ad0010054cc,Renuka Shenoy,True,False,c12527b1-eac8-4937-a917-8ad0010054cc
5691,,nan,https://vet.osu.edu/people/renukaradhya-gourapura,1,57382f63-0ff1-4ee1-94f9-699ab2e248a3,Renukaradhya Gourapura,True,False,57382f63-0ff1-4ee1-94f9-699ab2e248a3
5694,,nan,https://www.nationwidechildrens.org/find-a-doctor/profiles/reynold-c-ly,1,26c581eb-af9d-4ff2-a660-9e39be778bb5,Reynold Ly,True,False,26c581eb-af9d-4ff2-a660-9e39be778bb5
5702,,nan,https://vet.osu.edu/people/rhonda-burge,1,d728c890-6754-4ce0-836c-3b1f04294aef,Rhonda Burge,True,False,d728c890-6754-4ce0-836c-3b1f04294aef
5703,,nan,na,0,,,False,False,
5708,,nan,https://glenn.osu.edu/rich-granger,1,dbe4bb16-e2c4-4391-9555-2e0412691457,Rich Granger,True,False,dbe4bb16-e2c4-4391-9555-2e0412691457
5713,,nan,na,0,,,False,False,
5715,,nan,https://wexnermedical.osu.edu/find-a-doctor/richard-bryant-md-36671,1,f3d436a2-5d24-4c95-9ae0-dbc5988c9bff,Richard Bryant,True,False,f3d436a2-5d24-4c95-9ae0-dbc5988c9bff
5716,,nan,https://cancer.osu.edu/find-a-doctor/search-physician-directory/richard-wu,0,,,False,False,
5719,,nan,https://www.nationwidechildrens.org/find-a-doctor/profiles/richard-e-kirschner,1,ee2de7d4-0c65-48b5-91e0-af021109ec85,Richard E. Kirschner,True,False,ee2de7d4-0c65-48b5-91e0-af021109ec85
5720,,nan,http://www.nationwidechildrens.org/richard-p-golden,1,4ae69830-97e3-4c97-a99a-6b3a0e25ae99,Richard Golden,True,False,4ae69830-97e3-4c97-a99a-6b3a0e25ae99
5724,,nan,https://engineering.osu.edu/people/hopkins-lutz.1,1,3116ed27-18ba-44c7-af8d-5dbf403c730d,Richard Hopkins-Lutz,True,False,3116ed27-18ba-44c7-af8d-5dbf403c730d
5728,,nan,https://cph.osu.edu/people/rlinder,1,47f2839d-b393-496c-b063-337eb19642c1,Richard Linder,True,False,47f2839d-b393-496c-b063-337eb19642c1
5730,,nan,https://wexnermedical.osu.edu/find-a-doctor/richard-nelson-md-1505,1,401cbeb2-921c-4948-8ced-eb49140b41d0,Richard Nelson,True,False,401cbeb2-921c-4948-8ced-eb49140b41d0
5731,,nan,https://medicine.osu.edu/find-faculty/clinical/internal-medicine/richard-nho-phd,0,,,False,False,
5735,,nan,https://vet.osu.edu/people/richard-sams,1,38222ed1-e3dc-4fe8-b30e-ec76bb819e9f,Richard Sams,True,False,38222ed1-e3dc-4fe8-b30e-ec76bb819e9f
