file,scholar,num_urls,unique_urls,distinct_domains,categories,accuracy,uniqueness,richness,quantity,overall
kassas-zak-c31124db.txt,Kassas Zak,5,5,5,academic_profile:2|faculty_osu:1|gov:1|publications:1,6.0,10.0,8.6,7.0,7.7
katherine-silver-kelly-4804cfea.txt,Katherine Silver Kelly,5,5,5,other:4|academic_profile:1,8.0,10.0,5.8,7.0,7.7
kayla-herbell-a153e62a.txt,Kayla Herbell,11,11,7,faculty_osu:5|other:5|academic_profile:1,6.4,10.0,7.2,8.5,7.7
ke-wang-baf53861.txt,Ke Wang,4,4,4,faculty_osu:1|academic_profile:1|publications:1|university:1,7.5,8.8,8.6,6,7.7
khosrow-doroodian-25ddc5b9.txt,Khosrow Doroodian,4,4,3,faculty_osu:2|academic_profile:2,10.0,7.6,5.8,6,7.7
kurt-zadnik-600928d0.txt,Kurt Zadnik,8,8,4,faculty_osu:5|other:3,10.0,8.8,2.8,8.5,7.7
matthew-long-85c7d8ea.txt,Matthew Long,7,7,5,faculty_osu:3|academic_profile:3|other:1,7.1,10.0,7.2,7.0,7.7
melanie-brodnik-4cc4f892.txt,Melanie Brodnik,4,4,4,faculty_osu:1|academic_profile:1|publications:1|other:1,7.5,8.8,8.6,6,7.7
mike-kaylor-70ccb374.txt,Mike Kaylor,9,9,4,faculty_osu:6|university:3,10.0,8.8,2.8,8.5,7.7
min-wang-24694af9.txt,Min Wang,4,4,4,faculty_osu:1|academic_profile:1|university:1|gov:1,7.5,8.8,8.6,6,7.7
mona-makhija-e158fb68.txt,Mona Makhija,7,7,3,faculty_osu:5|academic_profile:1|other:1,8.6,7.6,7.2,7.0,7.7
nathanael-wendel-d5c920ea.txt,Nathanael Wendel,4,4,4,faculty_osu:1|academic_profile:1|university:1|other:1,7.5,8.8,8.6,6,7.7
paula-garvey-740e1d3f.txt,Paula Garvey,7,7,6,academic_profile:3|other:3|faculty_osu:1,7.1,10.0,7.2,7.0,7.7
randee-l-hunter-49136c7e.txt,Randee L Hunter,4,4,4,faculty_osu:1|academic_profile:1|publications:1|other:1,7.5,8.8,8.6,6,7.7
ruichen-li-a48bbe38.txt,Ruichen Li,4,4,4,faculty_osu:1|academic_profile:1|university:1|other:1,7.5,8.8,8.6,6,7.7
ruinan-jin-7d3c00f0.txt,Ruinan Jin,7,7,6,academic_profile:4|faculty_osu:2|other:1,7.1,10.0,7.2,7.0,7.7
shigeo-tamiya-1ee3b327.txt,Shigeo Tamiya,7,7,6,academic_profile:3|faculty_osu:2|other:2,7.1,10.0,7.2,7.0,7.7
tamar-gur-2c5e3726.txt,Tamar Gur,7,7,5,faculty_osu:3|other:3|academic_profile:1,7.1,10.0,7.2,7.0,7.7
thorwald-herbert-2b911f81.txt,Thorwald Herbert,4,4,4,faculty_osu:1|academic_profile:1|encyclopedia:1|other:1,7.5,8.8,8.6,6,7.7
alexis-hancock-2734b856.txt,Alexis Hancock,7,7,2,faculty_osu:6|encyclopedia:1,10.0,6.4,5.8,7.0,7.6
ann-deerhake-415cd80a.txt,Ann Deerhake,11,11,5,faculty_osu:7|other:4,9.1,10.0,2.8,8.5,7.6
benjamin-buchanan-293de8a9.txt,Benjamin Buchanan,6,6,6,other:5|faculty_osu:1,10.0,10.0,2.8,7.0,7.6
benjamin-walter-c3118e8e.txt,Benjamin Walter,7,7,7,academic_profile:4|faculty_osu:1|gov:1|other:1,5.7,10.0,8.6,7.0,7.6
brett-nickerson-3936e19a.txt,Brett Nickerson,8,8,5,academic_profile:4|faculty_osu:2|university:1|other:1,5.0,10.0,8.6,8.5,7.6
calvin-chandler-72e007b9.txt,Calvin Chandler,6,6,3,faculty_osu:4|academic_profile:1|other:1,8.3,7.6,7.2,7.0,7.6
chujun-geng-2c4f179f.txt,Chujun Geng,7,7,6,faculty_osu:2|academic_profile:2|other:2|publications:1,5.7,10.0,8.6,7.0,7.6
chunyu-yang-bb775b7f.txt,Chunyu Yang,6,6,3,faculty_osu:4|academic_profile:1|university:1,8.3,7.6,7.2,7.0,7.6
colin-trussa-9b687205.txt,Colin Trussa,7,7,2,faculty_osu:6|academic_profile:1,10.0,6.4,5.8,7.0,7.6
conrad-kuz-cf5779a3.txt,Conrad Kuz,7,7,5,academic_profile:3|faculty_osu:2|publications:1|other:1,5.7,10.0,8.6,7.0,7.6
dan-merfeld-925310aa.txt,Dan Merfeld,10,10,6,academic_profile:5|faculty_osu:3|other:2,6.0,10.0,7.2,8.5,7.6
dana-horbal-e724e69e.txt,Dana Horbal,7,7,7,other:6|faculty_osu:1,10.0,10.0,2.8,7.0,7.6
dean-connors-2a75cc94.txt,Dean Connors,7,7,7,other:6|faculty_osu:1,10.0,10.0,2.8,7.0,7.6
deborah-kuzawa-5bd5476a.txt,Deborah Kuzawa,6,6,5,other:4|faculty_osu:2,10.0,10.0,2.8,7.0,7.6
detra-price-4fee3e26.txt,Detra Price,6,6,3,faculty_osu:4|publications:1|university:1,8.3,7.6,7.2,7.0,7.6
doreen-close-b26ea50c.txt,Doreen Close,6,6,5,other:4|faculty_osu:2,10.0,10.0,2.8,7.0,7.6
emre-ertin-259bf3cf.txt,Emre Ertin,10,10,8,academic_profile:4|other:4|faculty_osu:1|publications:1,5.0,10.0,8.6,8.5,7.6
gabriel-karns-8e28e5ec.txt,Gabriel Karns,5,5,2,faculty_osu:4|academic_profile:1,10.0,6.4,5.8,7.0,7.6
grzegorz-rempala-405ef244.txt,Grzegorz Rempala,6,6,2,faculty_osu:4|academic_profile:2,10.0,6.4,5.8,7.0,7.6
guanzhe-ding-3a747e41.txt,Guanzhe Ding,5,5,2,faculty_osu:4|academic_profile:1,10.0,6.4,5.8,7.0,7.6
huangrong-sun-32cfa817.txt,Huangrong Sun,7,7,2,faculty_osu:6|academic_profile:1,10.0,6.4,5.8,7.0,7.6
ivy-kuofie-92eed172.txt,Ivy Kuofie,6,6,6,other:5|faculty_osu:1,10.0,10.0,2.8,7.0,7.6
jacqueline-henry-3e88244d.txt,Jacqueline Henry,7,7,7,other:6|faculty_osu:1,10.0,10.0,2.8,7.0,7.6
jean-michel-guldmann-64f3c4db.txt,Jean Michel Guldmann,9,9,4,faculty_osu:6|other:2|university:1,8.9,8.8,4.2,8.5,7.6
jesse-mindel-3d2ce1ea.txt,Jesse Mindel,6,6,6,other:5|faculty_osu:1,10.0,10.0,2.8,7.0,7.6
jin-fa-lee-3a282f0e.txt,Jin Fa Lee,10,10,9,other:5|academic_profile:3|faculty_osu:1|publications:1,5.0,10.0,8.6,8.5,7.6
julie-kennel-89c95ee4.txt,Julie Kennel,8,8,6,faculty_osu:3|other:3|academic_profile:1|noise:1,5.9,10.0,7.2,8.5,7.6
kauffman-andrew-650aa25f.txt,Kauffman Andrew,5,5,5,other:4|faculty_osu:1,10.0,10.0,2.8,7.0,7.6
kelly-purtell-b4c404e4.txt,Kelly Purtell,7,7,6,academic_profile:3|faculty_osu:2|gov:1|other:1,5.7,10.0,8.6,7.0,7.6
kevin-steiner-de4b43b6.txt,Kevin Steiner,5,5,5,other:4|faculty_osu:1,10.0,10.0,2.8,7.0,7.6
kewei-hou-9934d53f.txt,Kewei Hou,12,12,9,other:5|publications:4|academic_profile:2|faculty_osu:1,5.0,10.0,8.6,8.5,7.6
liang-geng-a92e3f02.txt,Liang Geng,7,7,5,faculty_osu:2|academic_profile:2|other:2|publications:1,5.7,10.0,8.6,7.0,7.6
lois-stepney-8c0ea103.txt,Lois Stepney,7,7,7,other:4|faculty_osu:1|academic_profile:1|university:1,5.7,10.0,8.6,7.0,7.6
manoj-choudhary-7c437977.txt,Manoj Choudhary,6,6,3,university:3|faculty_osu:2|academic_profile:1,8.3,7.6,7.2,7.0,7.6
marco-brocanelli-a8240d3e.txt,Marco Brocanelli,8,8,3,faculty_osu:6|publications:1|other:1,7.5,7.6,7.2,8.5,7.6
matilde-d-arpino-3bb1760e.txt,Matilde D Arpino,7,7,6,academic_profile:3|faculty_osu:2|publications:1|other:1,5.7,10.0,8.6,7.0,7.6
meen-wook-jung-4c4367eb.txt,Meen Wook Jung,6,6,3,faculty_osu:4|publications:1|other:1,8.3,7.6,7.2,7.0,7.6
michael-earley-46f99c57.txt,Michael Earley,5,5,5,other:4|university:1,10.0,10.0,2.8,7.0,7.6
moetiz-samad-4a01b62b.txt,Moetiz Samad,6,6,4,faculty_osu:3|academic_profile:1|university:1|other:1,6.7,8.8,8.6,7.0,7.6
mohamed-yaseen-noor-a0d89079.txt,Mohamed Yaseen Noor,7,7,6,academic_profile:3|faculty_osu:2|publications:1|other:1,5.7,10.0,8.6,7.0,7.6
nima-mansouri-d2be024e.txt,Nima Mansouri,8,8,6,faculty_osu:3|academic_profile:2|other:2|publications:1,5.0,10.0,8.6,8.5,7.6
olivia-farinas-452dc765.txt,Olivia Farinas,7,7,2,faculty_osu:6|academic_profile:1,10.0,6.4,5.8,7.0,7.6
pooja-tambolkar-399d5d1d.txt,Pooja Tambolkar,7,7,2,faculty_osu:6|academic_profile:1,10.0,6.4,5.8,7.0,7.6
rafe-wenger-4ef02685.txt,Rafe Wenger,5,5,2,faculty_osu:4|academic_profile:1,10.0,6.4,5.8,7.0,7.6
rana-farhadi-3348c9ae.txt,Rana Farhadi,6,6,6,other:5|faculty_osu:1,10.0,10.0,2.8,7.0,7.6
rashmi-ganith-47e18723.txt,Rashmi Ganith,7,7,7,other:6|faculty_osu:1,10.0,10.0,2.8,7.0,7.6
sarah-mikula-dd51730c.txt,Sarah Mikula,5,5,2,faculty_osu:4|academic_profile:1,10.0,6.4,5.8,7.0,7.6
scott-griffin-3ea546c2.txt,Scott Griffin,5,5,5,other:4|faculty_osu:1,10.0,10.0,2.8,7.0,7.6
somashekar-krishna-adb414a1.txt,Somashekar Krishna,7,7,7,academic_profile:3|other:2|faculty_osu:1|publications:1,5.7,10.0,8.6,7.0,7.6
stacia-waddle-d8fb4cfb.txt,Stacia Waddle,7,7,5,other:6|faculty_osu:1,10.0,10.0,2.8,7.0,7.6
steve-smith-6a1a3803.txt,Steve Smith,6,6,5,other:4|faculty_osu:2,10.0,10.0,2.8,7.0,7.6
sunnie-rucker-chang-bcd7d5a0.txt,Sunnie Rucker Chang,6,6,2,faculty_osu:5|academic_profile:1,10.0,6.4,5.8,7.0,7.6
